Entry	Entry name	Protein names	InterPro	Gene ontology IDs	Gene ontology (GO)	Gene names	EC number	Pathway	Protein existence	Organism	Organism ID
E9AGH7	NTR2_LEIIN	Probable flavin mononucleotide-dependent alkene reductase (EC 1.3.1.-) (Flavin mononucleotide-dependent nitroreductase) (EC 1.7.1.-) (NTR2)	IPR013785; IPR001155; IPR045247; 	GO:0005829; GO:0010181; GO:0016657	cytosol [GO:0005829]; FMN binding [GO:0010181]; oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor [GO:0016657]	LINJ.12.0730	1.3.1.-; 1.7.1.-		Evidence at protein level	Leishmania infantum	5671
A0A6L0WR46	A0A6L0WR46_LEIIN	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6)]	IPR017953; IPR000631; IPR030677; IPR029056; IPR004443; IPR036652; 	GO:0005524; GO:0016301; GO:0046496; GO:0046872; GO:0047453; GO:0052855; GO:0052856; GO:0052857	ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; ATP-dependent NAD(P)H-hydrate dehydratase activity [GO:0047453]; kinase activity [GO:0016301]; metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; nicotinamide nucleotide metabolic process [GO:0046496]	LINF_140018300	4.2.1.136; 5.1.99.6		Inferred from homology	Leishmania infantum	5671
A4HVU6	JBP2_LEIIN	Bifunctional helicase and thymine dioxygenase JBP2 (J-binding protein 2) [Includes: Probable DNA helicase JBP2 (EC 3.6.4.12); Thymine dioxygenase JBP2 (EC 1.14.11.6)]	IPR024779; IPR014001; IPR001650; IPR027417; IPR038718; IPR000330; 	GO:0003677; GO:0003678; GO:0005524; GO:0005634; GO:0016887; GO:0046872; GO:0050341	nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; metal ion binding [GO:0046872]; thymine dioxygenase activity [GO:0050341]	JBP2 LinJ14.0040 LinJ_14_0040	3.6.4.12; 1.14.11.6		Inferred from homology	Leishmania infantum	5671
Q9NGD0	ENPL_LEIIN	Endoplasmin homolog (Glucose-regulated protein 94) (Lipophosphoglycan biosynthetic protein 3)	IPR036890; IPR037196; IPR001404; IPR020575; IPR020568; 	GO:0005524; GO:0005783; GO:0006457; GO:0008201; GO:0016887; GO:0051082	endoplasmic reticulum [GO:0005783]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; heparin binding [GO:0008201]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	LPG3 GRP94			Evidence at protein level	Leishmania infantum	5671
O43938	METK_LEIIN	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (Methionine adenosyltransferase) (MAT)	IPR022631; IPR022630; IPR022629; IPR022628; IPR002133; IPR022636; 	GO:0004478; GO:0005524; GO:0006556; GO:0006730; GO:0046872	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine adenosyltransferase activity [GO:0004478]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]	METK MAT2	2.5.1.6	Amino-acid biosynthesis; S-adenosyl-L-methionine biosynthesis; S-adenosyl-L-methionine from L-methionine: step 1/1. 	Evidence at protein level	Leishmania infantum	5671
A4HW65	NNR_LEIIN	Bifunctional NAD(P)H-hydrate repair enzyme (Nicotinamide nucleotide repair protein) [Includes: ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136) (ADP-dependent NAD(P)HX dehydratase); NAD(P)H-hydrate epimerase (EC 5.1.99.6) (NAD(P)HX epimerase)]	IPR017953; IPR000631; IPR030677; IPR029056; IPR004443; IPR036652; 	GO:0005524; GO:0046496; GO:0046872; GO:0047453; GO:0052855; GO:0052856; GO:0052857	ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; ATP-dependent NAD(P)H-hydrate dehydratase activity [GO:0047453]; metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; nicotinamide nucleotide metabolic process [GO:0046496]	LINJ_14_1270	4.2.1.136; 5.1.99.6		Inferred from homology	Leishmania infantum	5671
A4I2F1	A4I2F1_LEIIN	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)	IPR000192; IPR010111; IPR015424; IPR015421; IPR015422; 	GO:0005737; GO:0006569; GO:0019805; GO:0030170; GO:0030429; GO:0034354; GO:0043420; GO:0061981; GO:0097053	cytoplasm [GO:0005737]; 3-hydroxykynureninase activity [GO:0061981]; kynureninase activity [GO:0030429]; pyridoxal phosphate binding [GO:0030170]; 'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; L-kynurenine catabolic process [GO:0097053]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]	KYNU LINJ_26_2250	3.7.1.3	Amino-acid degradation; L-kynurenine degradation; L-alanine and anthranilate from L-kynurenine: step 1/1. Cofactor biosynthesis; NAD(+) biosynthesis; quinolinate from L-kynurenine: step 2/3. 	Inferred from homology	Leishmania infantum	5671
A4I2L4	FEN1_LEIIN	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)	IPR036279; IPR023426; IPR008918; IPR029060; IPR006086; IPR006084; IPR019974; IPR006085; 	GO:0000287; GO:0003677; GO:0005654; GO:0005730; GO:0005739; GO:0006284; GO:0008409; GO:0017108; GO:0043137	mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; 5'-3' exonuclease activity [GO:0008409]; 5'-flap endonuclease activity [GO:0017108]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]; base-excision repair [GO:0006284]; DNA replication, removal of RNA primer [GO:0043137]	FEN1 LinJ27.0180 LinJ_27_0260	3.1.-.-		Inferred from homology	Leishmania infantum	5671
A0A6L0WQB3	A0A6L0WQB3_LEIIN	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	IPR018220; IPR042109; IPR042110; IPR042111; IPR001114; IPR027417; 	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0044208	cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]	LINF_130016900	6.3.4.4	Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 1/2. 	Inferred from homology	Leishmania infantum	5671
A4HVP7	PURA_LEIIN	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	IPR018220; IPR042109; IPR042110; IPR042111; IPR001114; IPR027417; 	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0044208	cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]	LinJ13.1120 LinJ_13_1090	6.3.4.4	Purine metabolism; AMP biosynthesis via de novo pathway; AMP from IMP: step 1/2. 	Inferred from homology	Leishmania infantum	5671
